DATE,PRICE
2009-01-01,9.97
2009-02-01,9.54
2009-03-01,9.12
2009-04-01,9.79
2009-05-01,10.7
2009-06-01,11.4
2009-07-01,10.8
2009-08-01,10.8
2009-09-01,9.75
2009-10-01,9.43
2009-11-01,9.53
2009-12-01,9.8
2010-01-01,9.79
2010-02-01,9.41
2010-03-01,9.39
2010-04-01,9.47
2010-05-01,9.41
2010-06-01,9.45
2010-07-01,9.79
2010-08-01,10.1
2010-09-01,9.98
2010-10-01,10.2
2010-11-01,11.1
2010-12-01,11.6
2011-01-01,11.6
2011-02-01,12.7
2011-03-01,12.7
2011-04-01,13.1
2011-05-01,13.2
2011-06-01,13.2
2011-07-01,13.2
2011-08-01,13.4
2011-09-01,12.2
2011-10-01,11.8
2011-11-01,11.7
2011-12-01,11.5
2012-01-01,11.9
2012-02-01,12.2
2012-03-01,13.0
2012-04-01,13.8
2012-05-01,14.0
2012-06-01,13.9
2012-07-01,15.4
2012-08-01,16.2
2012-09-01,14.3
2012-10-01,14.2
2012-11-01,14.3
2012-12-01,14.3
2013-01-01,14.3
2013-02-01,14.6
2013-03-01,14.6
2013-04-01,14.4
2013-05-01,14.9
2013-06-01,15.1
2013-07-01,15.3
2013-08-01,14.1
2013-09-01,13.3
2013-10-01,12.5
2013-11-01,12.7
2013-12-01,13.0
2014-01-01,12.9
2014-02-01,13.2
2014-03-01,13.7
2014-04-01,14.3
2014-05-01,14.4
2014-06-01,14.3
2014-07-01,13.1
2014-08-01,12.4
2014-09-01,10.9
2014-10-01,9.97
2014-11-01,10.2
2014-12-01,10.3
2015-01-01,10.3
2015-02-01,9.91
2015-03-01,9.85
2015-04-01,9.69
2015-05-01,9.58
2015-06-01,9.58
2015-07-01,9.95
2015-08-01,9.71
2015-09-01,9.05
2015-10-01,8.81
2015-11-01,8.68
2015-12-01,8.76
2016-01-01,8.71
2016-02-01,8.51
2016-03-01,8.56
2016-04-01,9.01
2016-05-01,9.76
2016-06-01,10.2
2016-07-01,10.2
2016-08-01,9.93
2016-09-01,9.41
2016-10-01,9.3
2016-11-01,9.47
2016-12-01,9.64
2017-01-01,9.71
2017-02-01,9.86
2017-03-01,9.69
2017-04-01,9.33
2017-05-01,9.29
2017-06-01,9.1
2017-07-01,9.42
2017-08-01,9.24
2017-09-01,9.35
2017-10-01,9.18
2017-11-01,9.22
2017-12-01,9.3
2018-01-01,9.3
2018-02-01,9.5
2018-03-01,9.81
2018-04-01,9.85
2018-05-01,9.84
2018-06-01,9.55
2018-07-01,9.08
2018-08-01,8.59
2018-09-01,8.77
